season,yr,mnth,hr,holiday,weekday,workingday,weathersit,temp,atemp,hum,windspeed,cnt,datetime,hour,day_of_week,month,is_weekend,hour_sin,hour_cos,weekday_sin,weekday_cos,month_sin,month_cos,lag_1,lag_24,lag_168,rolling_mean_24,rolling_std_24,split
1,0,1,7,0,6,0,2,0.16,0.1818,0.74,0.1045,9.0,2011-01-08 07:00:00,7,5,1,1,0.9659258262890683,-0.25881904510252063,-0.9749279121818236,-0.2225209339563146,0.49999999999999994,0.8660254037844387,2.0,84.0,16.0,63.25,55.79640786318403,train
1,0,1,8,0,6,0,3,0.16,0.1818,0.93,0.1045,15.0,2011-01-08 08:00:00,8,5,1,1,0.8660254037844387,-0.4999999999999998,-0.9749279121818236,-0.2225209339563146,0.49999999999999994,0.8660254037844387,9.0,210.0,40.0,60.125,56.6770504126517,train
1,0,1,9,0,6,0,3,0.16,0.1818,0.93,0.1045,20.0,2011-01-08 09:00:00,9,5,1,1,0.7071067811865476,-0.7071067811865475,-0.9749279121818236,-0.2225209339563146,0.49999999999999994,0.8660254037844387,15.0,134.0,32.0,52.0,47.490044723353215,train
1,0,1,10,0,6,0,2,0.18,0.197,0.8,0.1642,61.0,2011-01-08 10:00:00,10,5,1,1,0.49999999999999994,-0.8660254037844387,-0.9749279121818236,-0.2225209339563146,0.49999999999999994,0.8660254037844387,20.0,63.0,13.0,47.25,44.541382809794946,train
1,0,1,11,0,6,0,2,0.2,0.1818,0.69,0.3881,62.0,2011-01-08 11:00:00,11,5,1,1,0.258819045102521,-0.9659258262890682,-0.9749279121818236,-0.2225209339563146,0.49999999999999994,0.8660254037844387,61.0,67.0,2.0,47.166666666666664,44.512496209947386,train
1,0,1,12,0,6,0,2,0.2,0.1818,0.59,0.3582,98.0,2011-01-08 12:00:00,12,5,1,1,1.2246467991473532e-16,-1.0,-0.9749279121818236,-0.2225209339563146,0.49999999999999994,0.8660254037844387,62.0,59.0,2.0,46.958333333333336,44.42725286467137,train
1,0,1,13,0,6,0,1,0.2,0.1818,0.44,0.3284,102.0,2011-01-08 13:00:00,13,5,1,1,-0.2588190451025208,-0.9659258262890683,-0.9749279121818236,-0.2225209339563146,0.49999999999999994,0.8660254037844387,98.0,73.0,2.0,48.583333333333336,45.58500579821384,train
1,0,1,14,0,6,0,1,0.2,0.1667,0.32,0.4925,95.0,2011-01-08 14:00:00,14,5,1,1,-0.4999999999999997,-0.8660254037844388,-0.9749279121818236,-0.2225209339563146,0.49999999999999994,0.8660254037844387,102.0,50.0,3.0,49.791666666666664,46.63268042969406,train
1,0,1,15,0,6,0,1,0.2,0.1667,0.32,0.4478,74.0,2011-01-08 15:00:00,15,5,1,1,-0.7071067811865471,-0.7071067811865479,-0.9749279121818236,-0.2225209339563146,0.49999999999999994,0.8660254037844387,95.0,72.0,8.0,51.666666666666664,47.53732324657412,train
1,0,1,16,0,6,0,1,0.18,0.1364,0.29,0.4478,76.0,2011-01-08 16:00:00,16,5,1,1,-0.8660254037844385,-0.5000000000000004,-0.9749279121818236,-0.2225209339563146,0.49999999999999994,0.8660254037844387,74.0,87.0,14.0,51.75,47.57625458146113,train
1,0,1,17,0,6,0,1,0.16,0.1212,0.37,0.5522,69.0,2011-01-08 17:00:00,17,5,1,1,-0.9659258262890683,-0.25881904510252063,-0.9749279121818236,-0.2225209339563146,0.49999999999999994,0.8660254037844387,76.0,187.0,36.0,51.291666666666664,47.27392807206019,train
1,0,1,18,0,6,0,1,0.14,0.1212,0.39,0.2985,55.0,2011-01-08 18:00:00,18,5,1,1,-1.0,-1.8369701987210297e-16,-0.9749279121818236,-0.2225209339563146,0.49999999999999994,0.8660254037844387,69.0,123.0,56.0,46.375,37.71611637990594,train
1,0,1,19,0,6,0,1,0.14,0.1212,0.36,0.2537,30.0,2011-01-08 19:00:00,19,5,1,1,-0.9659258262890684,0.2588190451025203,-0.9749279121818236,-0.2225209339563146,0.49999999999999994,0.8660254037844387,55.0,95.0,84.0,43.541666666666664,34.08936996964797,train
1,0,1,20,0,6,0,1,0.12,0.1212,0.36,0.2537,28.0,2011-01-08 20:00:00,20,5,1,1,-0.8660254037844386,0.5000000000000001,-0.9749279121818236,-0.2225209339563146,0.49999999999999994,0.8660254037844387,30.0,51.0,94.0,40.833333333333336,32.3616341107621,train
1,0,1,21,0,6,0,1,0.12,0.1061,0.39,0.3582,37.0,2011-01-08 21:00:00,21,5,1,1,-0.7071067811865477,0.7071067811865474,-0.9749279121818236,-0.2225209339563146,0.49999999999999994,0.8660254037844387,28.0,39.0,106.0,39.875,32.388017778990026,train
1,0,1,22,0,6,0,1,0.12,0.1061,0.36,0.3881,34.0,2011-01-08 22:00:00,22,5,1,1,-0.5000000000000004,0.8660254037844384,-0.9749279121818236,-0.2225209339563146,0.49999999999999994,0.8660254037844387,37.0,36.0,110.0,39.791666666666664,32.39293960467133,train
1,0,1,23,0,6,0,1,0.1,0.0606,0.39,0.4478,22.0,2011-01-08 23:00:00,23,5,1,1,-0.25881904510252157,0.9659258262890681,-0.9749279121818236,-0.2225209339563146,0.49999999999999994,0.8660254037844387,34.0,15.0,93.0,39.708333333333336,32.40568813014786,train
1,0,1,0,0,0,0,1,0.1,0.0758,0.42,0.3881,25.0,2011-01-09 00:00:00,0,6,1,1,0.0,1.0,-0.7818314824680299,0.6234898018587334,0.49999999999999994,0.8660254037844387,22.0,25.0,67.0,40.0,32.20450954109702,train
1,0,1,1,0,0,0,1,0.1,0.0606,0.42,0.4627,12.0,2011-01-09 01:00:00,1,6,1,1,0.25881904510252074,0.9659258262890683,-0.7818314824680299,0.6234898018587334,0.49999999999999994,0.8660254037844387,25.0,16.0,35.0,40.0,32.20450954109702,train
1,0,1,2,0,0,0,1,0.1,0.0606,0.46,0.4627,11.0,2011-01-09 02:00:00,2,6,1,1,0.49999999999999994,0.8660254037844387,-0.7818314824680299,0.6234898018587334,0.49999999999999994,0.8660254037844387,12.0,16.0,37.0,39.833333333333336,32.34416373221345,train
1,0,1,3,0,0,0,1,0.1,0.0758,0.46,0.4179,4.0,2011-01-09 03:00:00,3,6,1,1,0.7071067811865476,0.7071067811865476,-0.7818314824680299,0.6234898018587334,0.49999999999999994,0.8660254037844387,11.0,7.0,36.0,39.625,32.519977137806826,train
